scheme,indeg,param_k_or_s,log2N,storage_fraction,recompute_hashes,saturated
v2_chain,,65536,22,2.2768977018472795e-05,131070,0
v2_chain,,16384,22,9.143353598517609e-05,32766,0
v2_chain,,4096,22,0.00036609177185198925,8190,0
v2_chain,,1024,22,0.001464724715319242,2046,0
v2_chain,,256,22,0.005859256489188253,1020,0
v2_chain,,64,22,0.023437383584664295,252,0
v2_chain,,16,22,0.09374989196656847,60,0
v3_drg,2,1024,22,0.001464724715319242,1907214,1
v3_drg,2,512,22,0.0029295686399422455,1950466,1
v3_drg,2,256,22,0.005859256489188253,2078598,1
v3_drg,2,128,22,0.011718632187680267,2308235,1
v3_drg,2,64,22,0.023437383584664295,1900410,1
v3_drg,2,32,22,0.04687488637863235,2018945,1
v3_drg,2,16,22,0.09374989196656847,1579236,1
v3_drg,2,8,22,0.1874999031424407,1027071,1
v3_drg,2,4,22,0.37499992549418515,709403,1
v3_drg,2,2,22,0.7499999701976741,5,0
v3_drg,4,1024,22,0.001464724715319242,2399299,1
v3_drg,4,512,22,0.0029295686399422455,1894320,1
v3_drg,4,256,22,0.005859256489188253,1761892,1
v3_drg,4,128,22,0.011718632187680267,1828248,1
v3_drg,4,64,22,0.023437383584664295,2028144,1
v3_drg,4,32,22,0.04687488637863235,1846942,1
v3_drg,4,16,22,0.09374989196656847,2044203,1
v3_drg,4,8,22,0.1874999031424407,1628402,1
v3_drg,4,4,22,0.37499992549418515,1442073,1
v3_drg,4,2,22,0.7499999701976741,452536,1
v3_drg,8,1024,22,0.001464724715319242,1770295,1
v3_drg,8,512,22,0.0029295686399422455,2854181,1
v3_drg,8,256,22,0.005859256489188253,2049804,1
v3_drg,8,128,22,0.011718632187680267,1774483,1
v3_drg,8,64,22,0.023437383584664295,2249349,1
v3_drg,8,32,22,0.04687488637863235,1554578,1
v3_drg,8,16,22,0.09374989196656847,2631535,1
v3_drg,8,8,22,0.1874999031424407,1453709,1
v3_drg,8,4,22,0.37499992549418515,1988369,1
v3_drg,8,2,22,0.7499999701976741,1274605,1
