scheme,indeg,rtt_s,delta_timeout_s,min_store_fraction
v2_chain,,0.05,0.1,5.7220458984375e-06
v2_chain,,0.05,0.5,3.5762786865234375e-07
v2_chain,,0.05,1.0,1.7881393432617188e-07
v2_chain,,0.05,2.0,8.940696716308594e-08
v2_chain,,0.05,5.0,4.470348358154297e-08
v3_drg,2,0.05,0.1,0.7499999996647239
v3_drg,2,0.05,0.5,0.7499999996647239
v3_drg,2,0.05,1.0,0.7499999996647239
v3_drg,2,0.05,2.0,0.7499999996647239
v3_drg,2,0.05,5.0,0.7499999996647239
v3_drg,4,0.05,0.1,0.9999999997019767
v3_drg,4,0.05,0.5,0.9999999997019767
v3_drg,4,0.05,1.0,0.9999999997019767
v3_drg,4,0.05,2.0,0.9999999997019767
v3_drg,4,0.05,5.0,0.9999999997019767
v3_drg,8,0.05,0.1,0.9999999997019767
v3_drg,8,0.05,0.5,0.9999999997019767
v3_drg,8,0.05,1.0,0.9999999997019767
v3_drg,8,0.05,2.0,0.9999999997019767
v3_drg,8,0.05,5.0,0.9999999997019767
