delta_s,rtt_s,honest_disk_cons_s,honest_resp_s,honest_meets_delta,cheat_compute_budget_s,k_max_parallel,log2_k_max_parallel,store_fraction_parallel,store_abs_bytes_parallel,t_cheat_parallel_s,k_max_serial,store_fraction_serial,separation
0.1,0.05,0.005280000000000001,0.05528,True,0.05,262144,18,5.7220458984375e-06,1228799.9998168945,0.02574709031085793,131072,1.1444091796875e-05,NONE
0.1,0.15,0.005280000000000001,0.15528,False,-0.04999999999999999,0,,inf,inf,inf,0,inf,honest-fails
0.1,0.3,0.005280000000000001,0.30528,False,-0.19999999999999998,0,,inf,inf,inf,0,inf,honest-fails
0.5,0.05,0.005280000000000001,0.05528,True,0.45,4194304,22,3.5762786865234375e-07,76799.99998855591,0.4119534449737269,2097152,7.152557373046875e-07,NONE
0.5,0.15,0.005280000000000001,0.15528,True,0.35,2097152,21,7.152557373046875e-07,153599.99997711182,0.20597672248686344,1048576,1.430511474609375e-06,NONE
0.5,0.3,0.005280000000000001,0.30528,True,0.2,1048576,20,1.430511474609375e-06,307199.99995422363,0.10298836124343172,524288,2.86102294921875e-06,NONE
1.0,0.05,0.005280000000000001,0.05528,True,0.95,8388608,23,1.7881393432617188e-07,38399.999994277954,0.8239068899474538,4194304,3.5762786865234375e-07,NONE
1.0,0.15,0.005280000000000001,0.15528,True,0.85,8388608,23,1.7881393432617188e-07,38399.999994277954,0.8239068899474538,4194304,3.5762786865234375e-07,NONE
1.0,0.3,0.005280000000000001,0.30528,True,0.7,4194304,22,3.5762786865234375e-07,76799.99998855591,0.4119534449737269,2097152,7.152557373046875e-07,NONE
2.0,0.05,0.005280000000000001,0.05528,True,1.95,16777216,24,8.940696716308594e-08,19199.999997138977,1.6478137798949075,8388608,1.7881393432617188e-07,NONE
2.0,0.15,0.005280000000000001,0.15528,True,1.85,16777216,24,8.940696716308594e-08,19199.999997138977,1.6478137798949075,8388608,1.7881393432617188e-07,NONE
2.0,0.3,0.005280000000000001,0.30528,True,1.7,16777216,24,8.940696716308594e-08,19199.999997138977,1.6478137798949075,8388608,1.7881393432617188e-07,NONE
5.0,0.05,0.005280000000000001,0.05528,True,4.95,33554432,25,4.470348358154297e-08,9599.999998569489,3.295627559789815,16777216,8.940696716308594e-08,NONE
5.0,0.15,0.005280000000000001,0.15528,True,4.85,33554432,25,4.470348358154297e-08,9599.999998569489,3.295627559789815,16777216,8.940696716308594e-08,NONE
5.0,0.3,0.005280000000000001,0.30528,True,4.7,33554432,25,4.470348358154297e-08,9599.999998569489,3.295627559789815,16777216,8.940696716308594e-08,NONE
