log2N,N,log2k,k,storage_bytes,honest_store_bytes,storage_fraction,nhash_worst,cheat_resp_py_s,cheat_resp_at_crate_s,honest_disk_resp_s,pass_rate,challenges
20,1048576,4,16,6291424,67108832,0.09374956786611932,60,1.7249999928026227e-05,2.9465206501988903e-06,1.8791999991663033e-05,1.0,200
20,1048576,6,64,1572832,67108832,0.023437034338490648,252,5.1915999847551575e-05,1.2375386730835338e-05,1.8791999991663033e-05,1.0,200
20,1048576,8,256,393184,67108832,0.005858900956583479,1020,0.00018927100018117926,5.009085105338113e-05,1.8791999991663033e-05,1.0,200
20,1048576,10,1024,98272,67108832,0.0014643676111066872,4092,0.0007470415000625508,0.00020095270834356432,1.8791999991663033e-05,1.0,200
20,1048576,12,4096,24544,67108832,0.0003657342747374891,8190,0.0029603540001517104,0.0004022000687521485,1.8791999991663033e-05,1.0,200
20,1048576,14,16384,6112,67108832,9.107594064518959e-05,32766,0.011927707999802806,0.001609094927073614,1.8791999991663033e-05,1.0,61
20,1048576,16,65536,1504,67108832,2.2411357122114717e-05,131070,0.04769749999991291,0.006436674360359476,1.8791999991663033e-05,1.0,20
21,2097152,4,16,12582880,134217696,0.09374978393311117,60,1.7750000097294105e-05,2.9465206501988903e-06,2.0041999960085377e-05,1.0,200
21,2097152,6,64,3145696,134217696,0.023437267169300835,252,5.183299981581513e-05,1.2375386730835338e-05,2.0041999960085377e-05,1.0,200
21,2097152,8,256,786400,134217696,0.00585913797834825,1020,0.00019325050016050227,5.009085105338113e-05,2.0041999960085377e-05,1.0,200
21,2097152,10,1024,196576,134217696,0.0014646056806101038,2046,0.000762250000207132,0.00010047635417178216,2.0041999960085377e-05,1.0,200
21,2097152,12,4096,49120,134217696,0.0003659726061755672,8190,0.0029894584999965446,0.0004022000687521485,2.0041999960085377e-05,1.0,200
21,2097152,14,16384,12256,134217696,9.131433756693305e-05,32766,0.011995332999958919,0.001609094927073614,2.0041999960085377e-05,1.0,61
21,2097152,16,65536,3040,134217696,2.2649770414774517e-05,131070,0.047985832999756894,0.006436674360359476,2.0041999960085377e-05,1.0,20
22,4194304,4,16,25165792,268435424,0.09374989196656847,60,1.8333500065637054e-05,2.9465206501988903e-06,2.1082999865029706e-05,1.0,200
22,4194304,6,64,6291424,268435424,0.023437383584664295,252,5.2333499979795306e-05,1.2375386730835338e-05,2.1082999865029706e-05,1.0,200
22,4194304,8,256,1572832,268435424,0.005859256489188253,1020,0.000191979499959416,5.009085105338113e-05,2.1082999865029706e-05,1.0,200
22,4194304,10,1024,393184,268435424,0.001464724715319242,2046,0.0007620210001277883,0.00010047635417178216,2.1082999865029706e-05,1.0,200
22,4194304,12,4096,98272,268435424,0.00036609177185198925,8190,0.0030563745001472853,0.0004022000687521485,2.1082999865029706e-05,1.0,200
22,4194304,14,16384,24544,268435424,9.143353598517609e-05,32766,0.01199887500024488,0.001609094927073614,2.1082999865029706e-05,1.0,61
22,4194304,16,65536,6112,268435424,2.2768977018472795e-05,131070,0.047696687500092594,0.006436674360359476,2.1082999865029706e-05,1.0,20
23,8388608,4,16,50331616,536870880,0.09374994598328745,60,1.9750000319618266e-05,2.9465206501988903e-06,2.329099970665993e-05,1.0,200
23,8388608,6,64,12582880,536870880,0.023437441792335617,252,5.41249996786064e-05,1.2375386730835338e-05,2.329099970665993e-05,1.0,200
23,8388608,8,256,3145696,536870880,0.005859315744597658,510,0.00019454200014479284,2.5045425526690566e-05,2.329099970665993e-05,1.0,200
23,8388608,10,1024,786400,536870880,0.0014647842326631685,2046,0.000776833000145416,0.00010047635417178216,2.329099970665993e-05,1.0,200
23,8388608,12,4096,196576,536870880,0.00036615135467954604,8190,0.0030909164997865446,0.0004022000687521485,2.329099970665993e-05,1.0,200
23,8388608,14,16384,49120,536870880,9.149313518364043e-05,32766,0.012098165999759658,0.001609094927073614,2.329099970665993e-05,1.0,61
23,8388608,16,65536,12256,536870880,2.282858030966403e-05,131070,0.048935145499854116,0.006436674360359476,2.329099970665993e-05,1.0,20
24,16777216,4,16,100663264,1073741792,0.09374997299164453,60,1.9709000071088667e-05,2.9465206501988903e-06,0.0007910419999461737,1.0,200
24,16777216,6,64,25165792,1073741792,0.023437470896168676,252,5.341700011740613e-05,1.2375386730835338e-05,0.0007910419999461737,1.0,200
24,16777216,8,256,6291424,1073741792,0.005859345372299712,1020,0.00020272949996069656,5.009085105338113e-05,0.0007910419999461737,1.0,200
24,16777216,10,1024,1572832,1073741792,0.0014648139913324711,2046,0.0007756249999602005,0.00010047635417178216,0.0007910419999461737,1.0,200
24,16777216,12,4096,393184,1073741792,0.00036618114609066087,8190,0.003093208000109371,0.0004022000687521485,0.0007910419999461737,1.0,200
24,16777216,14,16384,98272,1073741792,9.152293478020831e-05,32766,0.012247999999999593,0.001609094927073614,0.0007910419999461737,1.0,61
24,16777216,16,65536,24544,1073741792,2.2858381952595173e-05,131070,0.048912812500020664,0.006436674360359476,0.0007910419999461737,1.0,20
