log2N,N,delta,log2s,s,rho,storage_bytes,honest_bytes,storage_fraction,rec_hashes_median,rec_hashes_p99,depth_median,depth_p99,saturated,resp_seq_s_median,resp_seq_s_p99,resp_par_s_median,resp_par_s_p99,pass_rate,pass_validated,challenges
18,262144,2,0,1,1.0,16777184,16777184,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,60
18,262144,2,1,2,0.5,12582880,16777184,0.7499995231619323,6,11,3,7,0,2.94652065019889e-07,5.401954525364632e-07,1.473260325099445e-07,3.4376074252320383e-07,1.0,1,60
18,262144,2,2,4,0.25,6291424,16777184,0.37499880790483076,41301,71778,1033,1287,0,0.002028237489564406,0.0035249226538329325,5.072926386092423e-05,6.32028679467662e-05,1.0,1,60
18,262144,2,3,8,0.125,3145696,16777184,0.18749845027627998,82051,185188,13530,25453,0,0.0040294160978244856,0.009094337769483868,0.0006644404066198497,0.0012499631684918726,1.0,1,60
18,262144,2,4,16,0.0625,1572832,16777184,0.0937482714620046,119410,227527,50413,89699,0,0.005864067180670824,0.011173550066296715,0.002475715758974611,0.004404999263369838,1.0,1,60
18,262144,2,5,32,0.03125,786400,16777184,0.046873182054866895,124524,241646,84495,158802,0,0.006115208957422777,0.011866915483966017,0.004149437705642587,0.0077985562048814025,1.0,1,60
18,262144,2,6,64,0.015625,393184,16777184,0.02343563735129805,124395,243772,104322,201999,0,0.006108873938024849,0.011971320532338065,0.00512311545450081,0.009919903746992094,1.0,1,60
18,262144,2,7,128,0.0078125,196576,16777184,0.011716864999513625,111020,246709,102291,225858,0,0.005452045376418013,0.0121155527181653,0.005023375730491578,0.011091587683543682,1.0,1,60
18,262144,2,8,256,0.00390625,98272,16777184,0.005857478823621413,103238,255847,98891,244401,0,0.005069881648087217,0.012564307813190592,0.0048564062269803076,0.012002209890487649,1.0,1,60
18,262144,2,9,512,0.001953125,49120,16777184,0.0029277857356753076,114802,249547,111836,243484,0,0.00563777439473555,0.012254923144919707,0.005492118057260718,0.01195717723321711,1.0,1,60
18,262144,2,10,1024,0.0009765625,24544,16777184,0.0014629391917022547,153327,259664,150186,255937,0,0.007529686195550753,0.012751755635220744,0.007375435839512842,0.012568727594165888,1.0,1,60
18,262144,4,0,1,1.0,16777184,16777184,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,60
18,262144,4,1,2,0.5,12582880,16777184,0.7499995231619323,33632,64345,866,1236,0,0.0016516230417914846,0.003159897853950793,4.252811471787065e-05,6.069832539409714e-05,1.0,1,60
18,262144,4,2,4,0.25,6291424,16777184,0.37499880790483076,108525,182453,24420,38226,0,0.005329519226047242,0.008960025536512302,0.0011992339046309483,0.0018772283062417129,1.0,1,60
18,262144,4,3,8,0.125,3145696,16777184,0.18749845027627998,123511,220454,65449,112949,0,0.006065461867111919,0.010826204390315768,0.003214113833914453,0.005546776015321908,1.0,1,60
18,262144,4,4,16,0.0625,1572832,16777184,0.0937482714620046,134083,241628,101984,180359,0,0.006584638805676963,0.011866031527770958,0.00500829936649806,0.00885719196582036,1.0,1,60
18,262144,4,5,32,0.03125,786400,16777184,0.046873182054866895,159628,247126,140308,216544,0,0.00783911997249914,0.012136031036684182,0.006890340323135098,0.010634189461277808,1.0,1,60
18,262144,4,6,64,0.015625,393184,16777184,0.02343563735129805,125874,244098,118419,229330,0,0.006181505672052252,0.011987329961204145,0.005815400481265039,0.011262093011835192,1.0,1,60
18,262144,4,7,128,0.0078125,196576,16777184,0.011716864999513625,154743,250966,149797,243110,0,0.007599224082895447,0.01232460835829691,0.007356332563964053,0.01193881058783087,1.0,1,60
18,262144,4,8,256,0.00390625,98272,16777184,0.005857478823621413,120077,252653,117744,248084,0,0.005896822668565536,0.012407454697245003,0.005782252123950302,0.012183077149732357,1.0,1,60
18,262144,4,9,512,0.001953125,49120,16777184,0.0029277857356753076,110615,241675,108323,238881,0,0.00543215636202917,0.011868339635613612,0.005319599273191573,0.011731129990669352,1.0,1,60
18,262144,4,10,1024,0.0009765625,24544,16777184,0.0014629391917022547,146277,257782,142197,253808,0,0.0071834700191523845,0.012659333104159506,0.00698310661493886,0.012464175219761332,1.0,1,60
18,262144,8,0,1,1.0,16777184,16777184,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,60
18,262144,8,1,2,0.5,12582880,16777184,0.7499995231619323,64400,124854,13116,22548,0,0.0031625988312134756,0.00613141482099887,0.0006441094141334774,0.001107302460344743,1.0,1,60
18,262144,8,2,4,0.25,6291424,16777184,0.37499880790483076,101166,194377,57089,104932,0,0.004968128468300349,0.009545597407061828,0.002803565289986741,0.005153071747777832,1.0,1,60
18,262144,8,3,8,0.125,3145696,16777184,0.18749845027627998,128073,216670,100814,167935,0,0.006289495653882041,0.010640377154643225,0.0049508422138191815,0.008247065756519177,1.0,1,60
18,262144,8,4,16,0.0625,1572832,16777184,0.0937482714620046,138114,244339,124365,218177,0,0.006782595884692825,0.011999165152482444,0.006107400677699749,0.01071438393164072,1.0,1,60
18,262144,8,5,32,0.03125,786400,16777184,0.046873182054866895,117094,252700,111563,239654,0,0.005750331483573148,0.01240976280508766,0.005478711388302313,0.011769090998379413,1.0,1,60
18,262144,8,6,64,0.015625,393184,16777184,0.02343563735129805,110405,257222,107597,250506,0,0.0054218435397534745,0.012631832244757649,0.005283946373324166,0.012302018366645386,1.0,1,60
18,262144,8,7,128,0.0078125,196576,16777184,0.011716864999513625,151445,258823,149055,254850,0,0.007437263664489515,0.012710455237440455,0.007319893925256593,0.012515346461719786,1.0,1,60
18,262144,8,8,256,0.00390625,98272,16777184,0.005857478823621413,131070,253469,128677,251355,0,0.006436674360359476,0.012447527378087709,0.0063191572950940435,0.0123437116338457,1.0,1,60
