n,resolver,outcome,runs,n_rows,share_pct,success_pct,p50_ms,p95_ms,p99_ms,p50_sd,p95_sd,p99_sd
4,rpos,all,3,899,100.000,99.889,4.795,650.356,726.637,0.551,5.544,33.504
4,rpos,cache_hit,3,458,50.889,100.000,3.215,4.129,4.972,0.267,0.317,0.713
4,rpos,dht_hit,3,170,18.889,100.000,319.497,351.808,411.730,0.901,2.879,19.215
4,rpos,fallback,3,271,30.111,100.000,496.544,686.529,850.139,11.333,12.074,3.513
8,rpos,all,3,900,100.000,100.000,270.626,887.937,1300.009,12.631,4.769,5.866
8,rpos,cache_hit,3,380,42.222,100.000,2.764,4.202,6.929,0.244,0.450,4.021
8,rpos,dht_hit,3,245,27.222,100.000,346.816,661.832,669.407,0.547,1.832,3.449
8,rpos,fallback,3,275,30.556,100.000,681.251,1171.237,1327.701,1.709,72.875,1.823
16,rpos,all,3,899,100.000,99.889,335.336,972.126,1295.671,1.522,19.903,6.800
16,rpos,cache_hit,3,296,32.889,100.000,2.414,4.434,6.708,0.150,0.286,3.085
16,rpos,dht_hit,3,329,36.556,100.000,354.659,736.519,768.388,3.162,2.435,7.188
16,rpos,fallback,3,274,30.444,100.000,723.207,1218.042,1495.740,11.327,48.533,14.106
32,rpos,all,3,893,100.000,99.222,511.337,1500.885,2610.590,2.821,106.408,1576.155
32,rpos,cache_hit,3,225,25.000,100.000,1.328,4.171,5.449,0.071,0.469,1.146
32,rpos,dht_hit,3,398,44.444,99.495,487.440,1052.235,2042.195,24.017,194.096,1009.344
32,rpos,fallback,3,270,30.444,98.551,1021.920,2050.914,2746.712,26.055,910.571,1695.277
4,unbound,all,3,900,100.000,100.000,3.496,132.594,214.260,0.105,2.133,1.683
8,unbound,all,3,900,100.000,100.000,3.496,132.594,214.260,0.105,2.133,1.683
16,unbound,all,3,900,100.000,100.000,3.496,132.594,214.260,0.105,2.133,1.683
32,unbound,all,3,900,100.000,100.000,3.496,132.594,214.260,0.105,2.133,1.683
