source,n,qps,duration_s,runs,throughput_qps,throughput_sd,goodput_qps,success_rate_pct,success_sd,msgs_per_node_per_s,msgs_per_node_sd,total_ring_messages,p50_ms,p95_ms,p99_ms,p95_sd
emulation,4,50.0000,30,3,50.0303,0.0013,49.9556,99.9111,0.1018,75.4222,0.3276,9051,1.6378,635.4953,815.9855,0.4972
emulation,8,50.0000,30,3,49.8088,0.3863,49.7889,99.5778,0.1018,48.3694,0.1634,11609,4.1178,866.1285,1282.3442,13.9537
emulation,16,50.0000,30,3,50.0294,0.0041,49.9000,99.8000,0.1764,28.6819,0.0585,13767,254.5693,890.6770,1253.2656,1.2804
emulation,32,50.0000,30,3,50.0323,0.0014,47.4000,94.8000,0.6960,17.7139,0.2408,17005,397.0042,1581.8202,3288.2464,86.8010
sim,4,50.0000,60,1,50.0000,0.0000,50.0000,100.0000,0.0000,43.0000,0.0000,10320,18.0000,828.0000,828.0000,0.0000
sim,8,50.0000,60,1,50.0000,0.0000,50.0000,100.0000,0.0000,29.4333,0.0000,14128,18.0000,828.0000,1244.0000,0.0000
sim,16,50.0000,60,1,50.0000,0.0000,50.0000,100.0000,0.0000,19.4708,0.0000,18692,18.0000,884.0000,1300.0000,0.0000
sim,32,50.0000,60,1,50.0000,0.0000,50.0000,100.0000,0.0000,12.4865,0.0000,23974,264.5000,940.0000,1300.5600,0.0000
sim,1000,50.0000,60,1,50.0000,0.0000,50.0000,100.0000,0.0000,0.9107,0.0000,54642,556.5000,1356.0000,1828.0000,0.0000
sim,5000,50.0000,60,1,50.0000,0.0000,50.0000,100.0000,0.0000,0.2187,0.0000,65596,612.5000,1580.0000,1996.0000,0.0000
sim,10000,50.0000,60,1,50.0000,0.0000,50.0000,100.0000,0.0000,0.1157,0.0000,69446,736.5000,1580.0000,2244.0000,0.0000
