# Phase 5 #29 — simulator-vs-emulation calibration (sim/calibrate.py).
# Emulation targets: frozen 2026-09-21 nodes runs in results/experiments.csv (N=32 averaged over 3 repeats); hop counts from results/PARAMETERS.md §2.
# Calibrated levers: proc_delay_ms=18 (per-hop/RPC proc), fallback_step_ms=100, vote_proc_ms=0.5; routing hop charged as full RTT (chord_sim.hop_delay_ms).
# Frozen (measured netem, NOT tuned): intra=5 ms, inter=50 ms one-way. Threshold: 15%.
# gating=false rows are reported but excluded from pass/fail (see notes).
n,metric,emulation,simulation,rel_err_pct,within_15pct,gating,note
8,hop_median,2.0,1.0,50.0,False,False,documented finger-convergence idealisation (non-gating); sim routes converged ring
8,p50_ms,249.136,264.5,6.17,True,True,ok
8,p95_ms,886.694,955.2,7.73,True,True,ok
8,success_pct,100.0,100.0,0.0,True,True,"degenerate: sim has no loss model, ~100% by construction"
8,hop_mean,2.33,1.787,23.32,False,False,informational (median is the gated hop metric)
32,hop_median,3.0,3.0,0.0,True,True,ok
32,p50_ms,509.355,472.5,7.24,True,True,ok
32,p95_ms,1468.233,1356.0,7.64,True,True,ok
32,success_pct,99.777,100.0,0.22,True,True,"degenerate: sim has no loss model, ~100% by construction"
32,hop_mean,2.89,2.93,1.38,True,False,informational (median is the gated hop metric)
