n,mean_session_s,duration_s,warmup_s,repair_s,lookup_qps,domains,zipf_alpha,seed,lookups,success,lost_lookups,success_rate,chunks_lost,mean_live_pop
100,10,1800,60,1,10,1000,1,20260919,18000,7720,10280,0.428889,902,98.55
100,15,1800,60,1,10,1000,1,20260919,18000,12601,5399,0.700056,529,98.78
100,30,1800,60,1,10,1000,1,20260919,18000,15552,2448,0.864000,188,99.31
100,60,1800,60,1,10,1000,1,20260919,18000,17954,46,0.997444,12,99.00
100,120,1800,60,1,10,1000,1,20260919,18000,18000,0,1.000000,0,97.88
100,300,1800,60,1,10,1000,1,20260919,18000,18000,0,1.000000,0,95.54
100,600,1800,60,1,10,1000,1,20260919,18000,18000,0,1.000000,0,97.61
100,1800,1800,60,1,10,1000,1,20260919,18000,18000,0,1.000000,0,104.00
100,3600,1800,60,1,10,1000,1,20260919,18000,18000,0,1.000000,0,101.00
100,7200,1800,60,1,10,1000,1,20260919,18000,18000,0,1.000000,0,99.66
1000,10,1800,60,1,10,1000,1,20260919,18000,8274,9726,0.459667,842,1000.73
1000,15,1800,60,1,10,1000,1,20260919,18000,13967,4033,0.775944,417,999.63
1000,30,1800,60,1,10,1000,1,20260919,18000,16792,1208,0.932889,88,998.66
1000,60,1800,60,1,10,1000,1,20260919,18000,17882,118,0.993444,13,987.72
1000,120,1800,60,1,10,1000,1,20260919,18000,17997,3,0.999833,1,984.49
1000,300,1800,60,1,10,1000,1,20260919,18000,18000,0,1.000000,0,988.74
1000,600,1800,60,1,10,1000,1,20260919,18000,18000,0,1.000000,0,980.59
1000,1800,1800,60,1,10,1000,1,20260919,18000,18000,0,1.000000,0,984.55
1000,3600,1800,60,1,10,1000,1,20260919,18000,18000,0,1.000000,0,984.44
1000,7200,1800,60,1,10,1000,1,20260919,18000,18000,0,1.000000,0,989.31
10000,10,1800,60,1,10,1000,1,20260919,18000,10379,7621,0.576611,811,10013.03
10000,60,1800,60,1,10,1000,1,20260919,18000,17908,92,0.994889,4,9992.04
10000,3600,1800,60,1,10,1000,1,20260919,18000,18000,0,1.000000,0,9874.95
